srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
208016812010101,267.21381152092,-29.336923151447,QSO,0.501,,,,,,,0.023260849025884323,-0.8118860010435055,G000.0234-00.8119,267.213958,-29.336818,0.3,0.3,90.0,11.095,11.062,10.974,11.021,0.065,0.062,0.075,0.061,C,10.25,0.6097,6.755,0.3887,4.687,0.3247,2.505,0.1412,00104440,000844c0,00000400,00008000,0.595605
208016813010025,267.40110920499,-28.7717513609104,STAR,0.577,,,,,,,0.5921702359203799,-0.6614818647406886,G000.5921-00.6614,267.400997,-28.771766,0.3,0.3,90.0,9.923,9.896,9.956,10.189,0.031,0.033,0.051,0.123,C,30.15,0.8518,19.77,0.6015,11.98,0.5577,5.386,0.6088,00000740,00004240,00000200,00008200,0.358181
208016813010030,267.449168905936,-28.7469924709544,QSO,0.541,,,,,,,0.6350593698587996,-0.6849091409955278,G000.6349-00.6849,267.449097,-28.747127,0.3,0.3,90.0,12.124,11.933,,,0.082,0.145,,,A,3.973,0.3004,3.029,0.4043,,,,,00104140,00104440,,,0.535139
208016813010049,267.30472147803,-28.714216486125,QSO,0.571,,,,,,,0.5980549711494774,-0.5594142071366354,G000.5979-00.5593,267.304638,-28.714288,0.3,0.3,90.0,11.333,11.34,11.331,,0.046,0.059,0.076,,C,8.225,0.3468,5.232,0.2834,3.376,0.2356,,,00102400,00100000,00002600,,0.368635
208016813010056,267.19564292934,-28.691966153936,GALAXY,0.564,,,,,,,0.5678554381476855,-0.4659431192079505,G000.5678-00.4658,267.195501,-28.691907,0.3,0.3,90.0,10.532,10.623,10.262,10.706,0.045,0.05,0.044,0.067,C,17.2,0.7178,10.12,0.4624,9.034,0.3648,3.346,0.2058,00000540,00000600,00000200,00008400,0.495897
208016813010066,267.55704271287,-28.550482055349,QSO,0.369,,,,,,,0.8523166659458962,-0.6653115708393549,G000.8522-00.6651,267.556878,-28.550495,0.3,0.3,90.0,13.415,13.19,,,0.072,0.104,,,C,1.21,0.08042,0.9514,0.09116,,,,,00004340,00104640,,,0.522666
208016813010080,267.62538682126,-28.56435278357,GALAXY,0.601,,,,,,,0.8711781060260285,-0.7239648539435984,G000.8712-00.7239,267.62539,-28.564276,0.3,0.3,90.0,12.237,12.292,11.927,,0.061,0.072,0.246,,C,3.578,0.2009,2.177,0.1446,1.95,0.4422,,,00102740,00101740,00002000,,0.276682
208016814010027,267.6652932455,-29.46248608459,QSO,0.629,,,,,,,0.11751407137452499,-1.2138808554460137,G000.1174-01.2139,267.665327,-29.462565,0.3,0.3,90.0,11.98,12.007,11.878,11.989,0.045,0.075,0.119,0.11,C,4.534,0.1897,2.829,0.1965,2.039,0.2243,1.027,0.1041,00004240,00004000,00000200,00000001,0.303051
208016814010038,267.57529201192,-29.454954659979,QSO,0.487,,,,,,,0.08383810300859386,-1.1427176380849693,G000.0838-01.1427,267.575315,-29.45499,0.3,0.3,90.0,12.791,12.752,12.45,,0.084,0.12,0.23,,A,2.148,0.1666,1.425,0.1571,1.204,0.255,,,00000340,00080640,00002000,,0.146304
208016814010062,267.40331969351,-29.459302464223,QSO,0.491,,,,,,,0.003255163795081989,-1.0164251717659212,G000.0031-01.0164,267.403313,-29.459387,0.3,0.3,90.0,11.462,11.513,11.285,11.46,0.049,0.07,0.062,0.066,C,7.305,0.3281,4.459,0.2869,3.521,0.2018,1.671,0.1009,00104140,00180480,00000200,00008000,0.30487
208016815010022,267.44140159344,-28.920061637287,QSO,0.644,,,,,,,0.4830516455665173,-0.7679549442545152,G000.4830-00.7678,267.441273,-28.919986,0.3,0.3,90.0,12.518,12.492,12.201,,0.069,0.085,0.223,,C,2.762,0.1758,1.81,0.1416,1.514,0.3115,,,00000400,00000400,00000400,,0.488246
208016815010039,267.48072970153,-28.893348877356,QSO,0.634,,,STAR,1.0,,,0.5236552638183956,-0.7837826648219217,G000.5236-00.7837,267.480717,-28.893304,0.3,0.3,90.0,12.751,12.717,12.386,,0.092,0.105,0.348,,C,2.229,0.189,1.472,0.1417,1.278,0.4094,,,00000640,00000600,00002000,,0.166521
