ALPHA_J2000   DELTA_J2000   MAG_AUTO_J   MAGERR_AUTO_J   MAG_AUTO_H   MAGERR_AUTO_H   MAG_AUTO_Ks   MAGERR_AUTO_Ks   MAG_PSF_J   MAGERR_PSF_J   MAG_PSF_H   MAGERR_PSF_H   MAG_PSF_Ks   MAGERR_PSF_Ks   MAG_APER_J   MAGERR_APER_J   MAG_APER_H   MAGERR_APER_H   MAG_APER_Ks   MAGERR_APER_Ks   TILE_ID   ra          dec          J_auto_Oct   A_Ks   Separation            
  179.70018     -64.49723     16.28660     0.04756         15.58218     0.03464         15.32785      0.06266          16.92085    0.02930        16.45716    0.0222         16.38316     0.0518          16.86186     0.03227         16.31774     0.02496         16.26737      0.056            d002      179.70017   -64.497231   16.29        0.52   0.015912544449229706  
  179.71088     -64.53184     15.80705     0.03414         15.35776     0.03044         15.15074      0.05435          16.52704    0.02102        16.27094    0.01882        15.98203     0.03645         16.66306     0.02652         16.25236     0.0235          15.95267      0.0419           d002      179.71087   -64.531841   15.81        0.51   0.015893424009713938  
  180.06352     -64.44549     16.42096     0.04333         15.28798     0.03059         14.87235      0.05156          16.51997    0.02229        15.98235    0.01537        15.80888     0.03233         16.53238     0.02548         15.98404     0.01943         15.82122      0.03859          d002      180.06351   -64.445491   16.42        0.54   0.01594112063824913   
  180.06461     -64.28702     15.74382     0.04868         14.72611     0.027           14.61984      0.04682          17.09175    0.03626        16.51876    0.02569        16.12929     0.0427          17.09647     0.04280         16.27745     0.02626         15.99452      0.04599          d002      180.0646    -64.287021   15.74        0.57   0.016028584068177778  
  180.13633     -64.57068     16.41660     0.04864         15.90572     0.04593         15.37235      0.08244          17.00286    0.03015        16.69232    0.02573        16.41883     0.05331         16.98429     0.03421         16.54958     0.02979         16.43008      0.06344          d002      180.13632   -64.570681   16.42        0.5    0.01587196147898503   
  180.19142     -64.32967     15.85661     0.03221         15.1319      0.025           14.57463      0.03811          16.32135    0.02093        15.86214    0.01513        15.57272     0.02737         16.30796     0.02347         15.78078     0.0176          15.50286      0.03055          d002      180.19141   -64.329671   15.86        0.6    0.016005053467656995  
  180.25234     -64.10791     15.15040     0.02665         14.53831     0.01958         14.21778      0.02949          15.87664    0.01679        15.42273    0.0117         15.17237     0.02051         15.84546     0.01861         15.22154     0.01207         15.03356      0.02176          d002      180.25233   -64.107911   15.15        0.67   0.016127329606528237  
  180.25455     -64.09776     14.72025     0.02321         13.73117     0.01536         13.63663      0.02111          16.01657    0.01821        15.18793    0.01003        14.76409     0.01482         15.98437     0.02037         15.01047     0.0104          14.63816      0.01574          d002      180.25454   -64.097761   14.72        0.67   0.016132921953632685  
  180.31227     -64.48561     15.85353     0.03969         15.35614     0.03159         15.30764      0.06684          16.90337    0.03112        16.5255     0.02403        16.38526     0.05412         16.94251     0.03733         16.36579     0.02752         16.33204      0.06152          d002      180.31226   -64.485611   15.85        0.56   0.01591896311957424   
  180.46018     -64.47683     16.65560     0.05482         15.88955     0.03784         15.39235      0.06403          16.79625    0.03106        16.29878    0.02079        16.18578     0.04723         16.78683     0.03506         16.19749     0.02498         16.12978      0.05296          d002      180.46017   -64.476831   16.66        0.6    0.015923812631347987  
  180.48691     -63.79829     15.63117     0.06611         14.99272     0.03807         14.51102      0.04863          16.27799    0.04584        16.00563    0.03081        15.431       0.03423         16.23316     0.05162         15.66882     0.02872         15.26617      0.0362           d002      180.4869    -63.798291   15.63        1.03   0.016297747388349517  
  180.47167     -64.60606     16.84342     0.06720         16.05005     0.04981         15.6059       0.07662          17.07726    0.03586        16.6152     0.02762        16.44313     0.05743         17.07091     0.04265         16.53495     0.03085         16.35089      0.06304          d003      180.47166   -64.606061   16.84        0.58   0.01585240631275536   
  180.96457     -64.36909     15.49149     0.03710         14.75558     0.0264          14.58199      0.04357          16.47665    0.02735        16.11397    0.02071        15.7366      0.03424         16.37837     0.03090         15.88102     0.02094         15.64294      0.03789          d003      180.96456   -64.369091   15.49        0.71   0.015983298973195885  
  181.35645     -64.14575     15.70579     0.04402         15.2168      0.02971         14.65298      0.04648          16.95277    0.03115        16.185      0.01875        15.74599     0.03117         16.84272     0.03574         16.05785     0.02083         15.82948      0.04024          d003      181.35644   -64.145751   15.71        0.59   0.016106477778696296  
  181.45388     -63.55267     16.19122     0.05415         15.35262     0.02948         14.92083      0.0548           16.64577    0.03028        15.83654    0.0158         15.79559     0.0357          16.69239     0.03766         15.82054     0.01895         15.77266      0.04147          d003      181.45387   -63.552671   16.19        0.68   0.016432682308461143  
  181.45729     -63.56256     17.24428     0.09201         16.20569     0.04615         15.10017      0.05943          17.24451    0.04932        16.35683    0.02459        16.20688     0.0512          17.28201     0.06244         16.4174      0.03211         16.27392      0.06487          d003      181.45728   -63.562561   17.24        0.68   0.016427253553959638  
  181.46306     -63.60677     14.73034     0.02172         14.38175     0.01793         14.51169      0.0385           15.60946    0.01387        15.11786    0.00891        15.21197     0.02167         15.82903     0.01864         15.27898     0.01191         15.29885      0.02723          d003      181.46305   -63.606771   14.73        0.68   0.016402981457055155  
  181.55365     -64.42427     15.25438     0.02686         13.92765     0.01388         13.81682      0.02515          15.59937    0.01613        14.83716    0.00821        14.64163     0.01489         15.61568     0.01889         14.91473     0.01027         14.71639      0.01825          d003      181.55364   -64.424271   15.25        0.78   0.015952837709946384  
  181.5978      -63.59904     13.56897     0.00643         12.82377     0.00454         12.83498      0.0093           14.11922    0.00517        13.49884    0.00328        13.52408     0.00594         14.12277     0.00542         13.57828     0.00356         13.5884       0.00673          d003      181.59779   -63.599041   13.57        0.61   0.016407225858459367  
  181.6455      -64.53285     16.27336     0.05869         15.33105     0.03281         14.7328       0.04334          17.25714    0.04234        16.22816    0.02061        15.59775     0.02863         17.16043     0.04893         16.11789     0.02357         15.54545      0.03257          d003      181.64549   -64.532851   16.27        0.63   0.01589286592668353   
  181.65863     -64.41387     15.01710     0.03482         14.61827     0.02542         14.56591      0.04583          15.95770    0.02169        15.52845    0.01381        15.5276      0.03057         15.85778     0.02417         15.3919      0.01536         15.33707      0.03138          d003      181.65862   -64.413871   15.02        0.8    0.01595857967715858   
  181.7286      -63.59112     15.05508     0.02099         14.47968     0.01552         14.44706      0.0322           15.96889    0.01474        15.67887    0.01222        15.32478     0.02185         15.88024     0.01599         15.37033     0.01129         15.27971      0.02454          d003      181.72859   -63.591121   15.06        0.57   0.016411574448946323  
  181.73149     -63.60643     15.09761     0.01597         14.28905     0.0107          13.92861      0.01977          15.47343    0.01067        14.99782    0.00733        14.87422     0.01532         15.43490     0.01148         14.91159     0.00792         14.79924      0.01641          d003      181.73148   -63.606431   15.1         0.57   0.016403168102045906  
  181.76393     -63.52603     15.70777     0.03220         15.17135     0.02341         14.89068      0.04558          16.70804    0.02306        15.91565    0.0138         15.71238     0.0291          16.71405     0.02758         15.92064     0.01666         15.7423       0.03487          d003      181.76392   -63.526031   15.71        0.52   0.01644730346167794   
  181.84333     -63.61297     15.22713     0.02215         14.39387     0.01604         14.17113      0.02907          15.84813    0.01316        15.34169    0.00926        15.0506      0.01715         15.81808     0.01460         15.28812     0.01055         14.97953      0.01883          d003      181.84332   -63.612971   15.23        0.55   0.016399576945479322  
  181.96727     -64.29029     16.11286     0.04918         15.12548     0.03202         14.56475      0.04242          16.24294    0.02637        15.98425    0.01995        15.63247     0.03314         16.26769     0.03238         15.88117     0.02325         15.49508      0.03552          d003      181.96726   -64.290291   16.11        0.78   0.016026780268314847  
  182.01084     -64.59621     14.66507     0.02144         13.74587     0.01275         13.73245      0.02197          15.74086    0.01201        14.97463    0.00697        14.76651     0.01364         15.68360     0.01324         15.03271     0.0086          14.80898      0.01635          d003      182.01083   -64.596211   14.67        0.55   0.015857851096781634  
  182.03668     -63.99705     16.00173     0.04614         15.1356      0.02746         14.71032      0.0417           17.18773    0.03844        16.30365    0.02094        15.79557     0.03296         16.88552     0.03784         16.0151      0.02078         15.61502      0.03396          d003      182.03667   -63.997051   16.0         0.61   0.016188389036495266  
  182.04162     -63.8583      14.51467     0.02194         14.16829     0.01657         14.10135      0.02927          15.71063    0.01220        15.4265     0.00984        15.19125     0.01916         16.48616     0.02498         15.93831     0.01909         15.13236      0.02176          d003      182.04161   -63.858301   14.51        0.57   0.016264745288338073  
  182.05841     -63.58565     15.75820     0.03808         15.36723     0.03288         15.1711       0.05847          16.89804    0.02939        16.24804    0.01901        16.0828      0.04133         16.83889     0.03405         16.28489     0.02427         16.09858      0.04978          d003      182.0584    -63.585651   15.76        0.56   0.016414577656872462  
  182.09805     -64.35266     16.57453     0.06759         15.52282     0.0347          14.86646      0.0492           16.86899    0.04062        15.89527    0.0179         15.68154     0.03417         16.72167     0.04513         15.7715      0.0203          15.64789      0.04             d003      182.09804   -64.352661   16.57        0.76   0.015992366754162123  
  182.23124     -64.44424     15.94482     0.05420         15.29391     0.03479         15.29486      0.06273          17.21975    0.04416        16.50186    0.026          16.16329     0.04733         16.84425     0.04139         16.25229     0.0269          16.0389       0.05143          d003      182.23123   -64.444241   15.94        0.66   0.015941810859009423  
  182.27171     -64.4032      15.73743     0.03154         14.72325     0.01817         13.84887      0.03015          16.53179    0.02428        15.6028     0.01242        15.14561     0.01982         16.14248     0.02212         15.32979     0.01225         14.99656      0.02074          d003      182.2717    -64.403201   15.74        0.65   0.01596447034006697   
  182.30861     -64.69559     17.54931     0.08979         16.35353     0.05508         15.48363      0.06763          18.15299    0.07675        17.14918    0.03997        16.35456     0.05107         17.94743     0.08014         16.94043     0.04286         16.22136      0.05465          d003      182.3086    -64.695591   17.55        0.54   0.01580290173390053   
  182.31877     -64.3723      15.29659     0.03374         14.68934     0.03643         14.46687      0.04729          16.57893    0.02607        16.39376    0.02353        15.86419     0.03596         16.31685     0.02626         16.09105     0.02325         15.75147      0.03961          d003      182.31876   -64.372301   15.3         0.65   0.015981527242542613  
