srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
205031701010138,270.849520411605,-21.6862824043123,QSO,0.645,,,,,,,8.28400246930379,0.20543710278985022,4069966436268332544,270.84959077644,-21.68632249739,1234.49805,1163.3916,1335.52612,1220.83118,1135.51917,1296.82776,10033,0.276113
205031701010145,270.938824630152,-21.5107968325953,STAR,0.474,,,,,,,8.477635081706174,0.2194626819861214,4070064116683816448,270.93878627988,-21.51084493291,897.714783,842.345459,961.074524,,,,10099,0.215599
205031701010157,270.953280915834,-21.5093364976552,STAR,0.529,,,STAR,1.0,,,8.48551850492893,0.2084684645325427,4070064151043555968,270.95320123873,-21.50944974467,753.388123,700.125793,809.32843,757.787415,703.0271,806.447937,10033,0.487263
205031701010163,271.08141313731,-21.601152028193,QSO,0.536,,,STAR,1.0,,,8.464079103666032,0.05956513774940531,4070058825289408896,271.08143071615,-21.6011507998,2524.26562,1689.70911,3984.28149,2493.96094,2016.35046,3227.25195,10033,0.059005
205031701010182,271.111078422286,-21.6256606345138,GALAXY,0.503,,,,,,,8.456259637149822,0.02350743218832497,4070058554720024192,271.11092536501,-21.62560010893,315.015869,313.69693,316.571747,314.608734,313.403625,315.748779,10033,0.55664
205031701010188,270.97111362405,-21.831001071364,QSO,0.598,,,,,,,8.21353447314979,0.03593493277073279,4069914411307557888,270.97117479265,-21.83084165029,1252.93396,1174.21741,1349.36584,1249.25562,1168.03369,1325.81323,10033,0.609233
205031701010191,270.9253181677,-21.7779399542614,STAR,0.495,,,STAR,1.0,,,8.238839449525338,0.09904606778010117,4069962003861955968,270.92538047969,-21.777831716,1230.30212,1175.8606,1281.13647,1239.75806,1182.83728,1295.20386,10033,0.441846
205031701010196,270.904072314277,-21.6833478163382,STAR,0.43,,,STAR,1.0,,,8.311497143621267,0.16274905128957687,4069964817040652288,270.90406658999,-21.68331541463,3894.73633,2633.04688,5407.5835,2543.4082,1886.01697,3763.77051,10033,0.118208
205031701010211,270.905259566659,-21.5189878023104,GALAXY,0.632,,,,,,,8.455147736171782,0.24262521531382228,4070063777400226048,270.90521550511,-21.51895505011,1429.71899,1305.56396,1617.21362,1420.61316,1307.59583,1577.51086,10033,0.188885
205031701010226,271.26428990779,-21.5180096333467,GALAXY,0.582,,,STAR,1.0,,,8.619936689262332,-0.04790087596608667,4070019796933730816,271.26434153974,-21.51807169461,977.847229,943.045471,1018.27246,980.374451,951.677246,1013.25629,10033,0.282521
