name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J163442.3-472837,0.0464457831325301,0.0032831325301204,0.0220180722891566,0.0345180722891566,0.008117469879518,0.7778664658634538,0.0302646297077278,0.0056678726634559,0.0198725505667727,0.0243595074398551,0.0096467900784762,0.0785624051149598,0.061726907630522,0.0460240963855421,0.0484589627855027,0.0337751272059132,YSO,0.7778664658634538,0.0785624051149598,1.0,248.67654166666665,-47.47696666666667,3.12,9.87,1.215178186102764e-15,0.9737360472751146,,,,17.388,,5,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163520.5-472831,0.0,0.0145883534136546,0.0952409638554216,0.0054216867469879,0.0661947791164658,0.8137449799196788,0.0,0.019633097501083,0.0729193274120505,0.0102001523077733,0.055082197261248,0.103521566829787,0.0044578313253012,0.0003514056224899,0.008132522272223,0.0020973800436175,YSO,0.8137449799196788,0.103521566829787,1.0,248.835625,-47.47543055555556,0.81,8.05,5.190546750235829e-15,-0.08522760949030453,0.836,0.636,16.748718,13.683,,6,conf,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163553.8-472540,,,,,,,,,,,,,,,,,,,,,248.97420833333328,-47.427841666666666,0.71,86.29,5.0355096511943444e-14,0.7367820703894866,,1.0,,,,0,extent,337.123077,0.255119,20.922719999999988,extent,J1634-472,LMXB
2CXO J102440.9-574118,0.0001305220883534,0.1084437751004016,0.1499598393574297,0.0120281124497991,0.2426506024096385,0.3996586345381526,0.0011355525202053,0.0707056169817467,0.0907434308630564,0.0139093697082148,0.0930305099877532,0.1185247845749387,0.0830421686746988,0.0040863453815261,0.0552443837743594,0.0080618572306401,YSO,0.3996586345381526,0.1185247845749387,0.0,156.17058333333333,-57.68845555555555,1.23,7.91,6.7706331312692815e-15,-0.6883365381614224,0.485,0.798,17.706932,14.689,,6,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
2CXO J102503.1-574520,0.0003313253012048,0.2040763052208835,0.1608483935742972,0.0163955823293172,0.2701380522088353,0.1520557228915662,0.0017907250294946,0.1312232751477637,0.0974937601787863,0.0205883350044027,0.1226431571175502,0.0563618260399028,0.1895983935742972,0.0065562248995983,0.102417214306783,0.0103936514932161,LM-STAR,0.2701380522088353,0.1226431571175502,0.0,156.2632083333333,-57.75573888888889,1.62,6.79,1.4908455968142853e-14,-0.27734999572436136,,1.0,15.304997,14.087,,6,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
2CXO J102416.6-573931,9.036144578313252e-05,0.0712951807228915,0.4367269076305221,0.0050602409638554,0.1968373493975903,0.273855421686747,0.0009467572106719,0.0519879113979884,0.1440426015949681,0.0080884796505558,0.08868745669755,0.1047974604621671,0.0153514056224899,0.0007831325301204,0.0168163897090416,0.0036683018987821,HM-STAR,0.4367269076305221,0.1440426015949681,0.0,156.06924999999998,-57.65870833333333,1.0,9.97,7.163555666270245e-15,-0.7389212427122624,0.952,0.995,16.32213,13.539,,8,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
2CXO J102449.5-574421,0.0031676706827309,0.0037550200803212,0.0241465863453815,0.0618574297188755,0.1005722891566265,0.7928263052208835,0.0057354578176352,0.007309127280848,0.0187223725677705,0.0383014196703451,0.0915855521465622,0.0971015577288545,0.0094277108433734,0.0042469879518072,0.0128764439666725,0.0087932843815567,YSO,0.7928263052208835,0.0971015577288545,1.0,156.20629166666666,-57.73939722222222,1.59,6.96,1.0375875142147647e-14,0.7287171307125905,0.617,0.712,18.6539,14.239,,6,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
2CXO J102414.7-573951,0.0001004016064257,0.0777510040160642,0.1523694779116465,0.0236546184738955,0.1612499999999999,0.3822389558232931,0.0009974640404129,0.0493572989922975,0.0919471556344995,0.0224144871663321,0.0720041089698547,0.1102510024727452,0.1975251004016064,0.0051104417670682,0.1074577134195434,0.0091710628267657,YSO,0.3822389558232931,0.1102510024727452,0.0,156.06145833333332,-57.66430277777778,0.82,10.75,7.745190643521476e-15,-0.4589869420653019,1.0,1.0,17.740873,14.803,,6,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
2CXO J102458.5-574737,4.0160642570281125e-05,0.0807429718875502,0.1834437751004016,0.0173493975903614,0.3263755020080321,0.304066265060241,0.000632768166122,0.0539946973090012,0.0863549287534049,0.0163012596127836,0.1091051567912406,0.0892876984358195,0.0866666666666666,0.0013152610441767,0.0530377066336594,0.0040817042494561,LM-STAR,0.3263755020080321,0.1091051567912406,0.0,156.24391666666665,-57.79365833333333,0.97,11.36,2.0130783971519865e-14,-0.48707678997057235,0.019,0.866,15.148636,13.167,,6,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
2CXO J102344.4-573831,0.0003212851405622,0.0009437751004016,0.5732730923694779,5.020080321285141e-05,0.371214859437751,0.0537248995983935,0.001820372913096,0.0034601611206019,0.1412924182543291,0.0007070996460091,0.1404222992645183,0.0350431266601677,0.0004718875502008,0.0,0.0023888797760304,0.0,HM-STAR,0.5732730923694779,0.1412924182543291,0.0,155.93512499999997,-57.64196666666667,0.85,15.03,1.7504302924964102e-14,-0.8968811584469272,0.966,0.827,9.006303,8.642,7.136,9,,284.193115,-0.399714,19.960439999999988,extent,J1023-575,
